report_date,geoid,county,state,confirmed,confirmed_rate,new_confirmed,confirmed_avg,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2020-02-12,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-12,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-12,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-12,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-12,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-12,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-12,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-12,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-12,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-12,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-12,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-13,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-13,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-13,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-13,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-13,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-13,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-13,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-13,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-13,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-13,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-13,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-13,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-13,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-13,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-13,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-14,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-14,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-14,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-14,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-14,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-14,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-14,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-14,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-14,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-14,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-14,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-14,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-14,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-14,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
